Country,PortName,VesselsinPort,Average_Departures,Average_Arrivals,Type,AreaLocal,AreaGlobal
USA,KODIAK,52,5,3,Port,Gulf of Alaska,Alaska
United Kingdom,LIVERPOOL,52,31,45,Port,Irish Sea,UK Coast & Atlantic
Denmark,AALBORG,52,9,22,Port,Kattegat,UK Coast & Atlantic
Netherlands,STELLENDAM,52,21,16,Port,Rotterdam Area,UK Coast & Atlantic
USA,NEW BEDFORD,52,6,5,Port,US East Coast,US East Coast
Greece,AGIOS KOSMAS,52,4,17,Marina,Piraeus Area,East Mediterranean
Greece,ALIMOS,52,24,24,Marina,Piraeus Area,East Mediterranean
USA,AVENTURA,52,8,9,Port,US East Coast,US East Coast
Nigeria,LAGOS ANCH,52,23,26,Anchorage,Gulf of Guinea,West Africa
Sweden,LANGEDRAG,52,58,75,Port,Kattegat,Baltic Sea
Panama,PANAMA ANCH ATLANTIC,52,26,31,Anchorage,Panama Canal,East Coast Central America
China,FUZHOU,51,18,23,Port,East China Sea,South China
Korea,ONSAN,51,121,121,Port,North China,North China
China,PENGLAI,51,63,61,Port,Bohai Sea,North China
USA,PORT EVERGLADES,51,23,21,Port,US East Coast,US East Coast
India,KAKINADA,51,8,10,Port,Bengal Bay,East Coast India
Japan,NAHA,51,33,42,Port,East China Sea,Japan Coast
